1,gaming,RAM,Corsair Vengeance LPX 8 GB (1 x 8 GB) DDR4-3000 Memory,$42.99
1,gaming,CPU,Intel Core i3-9100F 3.6 GHz Quad-Core Processor,$87.87
1,gaming,Graphics Card,MSI Radeon RX 570 8 GB ARMOR OC Video Card,$129.99
1,gaming,Power Supply,EVGA BR 450 W 80+ Bronze Certified ATX Power Supply,$35.98
1,gaming,Case,Phanteks P300 ATX Mid Tower Case,$66.98
1,gaming,Motherboard,MSI B360 GAMING PLUS ATX LGA1151 Motherboard,$96.00
1,gaming,SSD,"Kingston A400 120 GB 2.5"" Solid State Drive",$18.69
1,gaming,HDD,"Seagate BarraCuda 1 TB 3.5"" 7200RPM Internal Hard Drive",$43.74
2,gaming,RAM,Corsair Vengeance LPX 8 GB (1 x 8 GB) DDR4-3000 Memory,$42.99
2,gaming,CPU,Intel Core i3-9100 3.6 GHz Quad-Core Processor,$122.99+
2,gaming,Graphics Card,MSI Radeon RX 580 8 GB ARMOR OC Video Card,$144.99
2,gaming,Power Supply,EVGA BR 450 W 80+ Bronze Certified ATX Power Supply,$35.98
2,gaming,Case,Phanteks P300 ATX Mid Tower Case,$66.98
2,gaming,Motherboard,MSI B360 GAMING PLUS ATX LGA1151 Motherboard,$96.00
2,gaming,SSD,"Kingston A400 120 GB 2.5"" Solid State Drive",$18.69
2,gaming,HDD,"Seagate BarraCuda 1 TB 3.5"" 7200RPM Internal Hard Drive",$43.74
3,gaming,RAM,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 Memory,$57.99
3,gaming,CPU,Intel Core i5-9400F 2.9 GHz 6-Core Processor,$144.99
3,gaming,Graphics Card,MSI GeForce GTX 1660 Super 6 GB VENTUS XS OC Video Card,$229.99
3,gaming,Power Supply,EVGA BQ 600 W 80+ Bronze Certified Semi-modular ATX Power Supply,$69.99+
3,gaming,Case,Phanteks Eclipse P400S ATX Mid Tower Case,$81.98
3,gaming,Motherboard,MSI B360 GAMING PLUS ATX LGA1151 Motherboard,$96.00
3,gaming,SSD,"Kingston A400 240 GB 2.5"" Solid State Drive",$27.99
3,gaming,HDD,"Seagate Barracuda Compute 2 TB 3.5"" 7200RPM Internal Hard Drive",$49.99
4,gaming,RAM,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 Memory,$57.99
4,gaming,CPU,Intel Core i5-9600K 3.7 GHz 6-Core Processor,$199.99
4,gaming,Graphics Card,MSI GeForce GTX 1660 Ti 6 GB VENTUS XS OC Video Card,$259.99
4,gaming,Power Supply,EVGA BQ 600 W 80+ Bronze Certified Semi-modular ATX Power Supply,$69.99+
4,gaming,Case,Phanteks Eclipse P400S ATX Mid Tower Case,$81.98
4,gaming,Motherboard,MSI MPG Z390 GAMING PLUS ATX LGA1151 Motherboard,$114.99
4,gaming,SSD,"Kingston A400 240 GB 2.5"" Solid State Drive",$27.99
4,gaming,HDD,"Seagate Barracuda Compute 2 TB 3.5"" 7200RPM Internal Hard Drive",$49.99
5,gaming,RAM,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 Memory,$57.99
5,gaming,CPU,Intel Core i5-9400 2.9 GHz 6-Core Processor,$129.99
5,gaming,Graphics Card,MSI Radeon RX 5700 8 GB Evoke OC Video Card,$299.99
5,gaming,Power Supply,EVGA BQ 750 W 80+ Bronze Certified Semi-modular ATX Power Supply,$83.99
5,gaming,Case,Phanteks Eclipse P400S ATX Mid Tower Case,$81.98
5,gaming,Motherboard,MSI MPG Z390 GAMING PLUS ATX LGA1151 Motherboard,$114.99
5,gaming,SSD,"Kingston Q500 480 GB 2.5"" Solid State Drive",$50.99
5,gaming,HDD,"Seagate Barracuda Compute 2 TB 3.5"" 7200RPM Internal Hard Drive",$49.99
6,gaming,RAM,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 Memory,$57.99
6,gaming,CPU,Intel Core i7-9700F 3 GHz 8-Core Processor,$318.99
6,gaming,Graphics Card,MSI Radeon RX 5700 XT 8 GB EVOKE OC Video Card,$349.99
6,gaming,Power Supply,EVGA BQ 750 W 80+ Bronze Certified Semi-modular ATX Power Supply,$83.99
6,gaming,Case,Phanteks ECLIPSE P600S ATX Mid Tower Case,$149.99
